INDIVIDUALS,POPULATION,STRATA,LOCATION,REGION,LATITUDE,LONGITUDE,STATE
D02_SC-12,Saint Clairesville,PA,PA,Central Appalachian Mountains,40.155985,-78.510515,PA
D02_SELU-05,SELU,VA,VA,Central Appalachian Mountains,37.050129,-80.333659,VA
D03_KM-3,Knobbs Mountain,VA,VA,Central Appalachian Mountains,38.47285,-78.174912,VA
D03_SP-05,Shawnee State Park,PA,PA,Central Appalachian Mountains,40.0341,-78.6343,PA
D04_KM-11,Knobbs Mountain,VA,VA,Central Appalachian Mountains,38.47285,-78.174912,VA
D04_SP-13,Shawnee State Park,PA,PA,Central Appalachian Mountains,40.0341,-78.6343,PA
D05_BR-04,Blue Rock,WV,WV,Central Appalachian Mountains,38.555584,-79.131435,WV
D05_TC-AC-6,Town Creek,MD,MD,Central Appalachian Mountains,39.58903,-78.56191,MD
D06_BR-12,Blue Rock,WV,WV,Central Appalachian Mountains,38.555584,-79.131435,WV
D07_SH-04,Smoke Hole,WV,WV,Central Appalachian Mountains,38.545451,-79.141416,WV
D08_SH-12-A,Smoke Hole,WV,WV,Central Appalachian Mountains,38.545451,-79.141416,WV
D09_CC-1-A,Carter Caves,KY,KY,Interior Low Plateau,38.22027,-83.07409,KY
D09_PIN-04,The Pinnacle,VA,VA,Central Appalachian Mountains,36.575016,-82.3547,VA
D10_FCR-2,False Castle Rock,WV,WV,Central Appalachian Mountains,38.553138,-79.14252,WV
D10_LE-01-3,Lutzville,PA,PA,Central Appalachian Mountains,40.00842745,-78.43550965,PA
D11_FCR-10,False Castle Rock,WV,WV,Central Appalachian Mountains,38.553138,-79.14252,WV
D11_LE-10,Lutzville,PA,PA,Central Appalachian Mountains,40.00842745,-78.43550965,PA
D12_PH-3,Powers Hollow,WV,WV,Central Appalachian Mountains,37.281763,-81.33027,WV
E01_PH-12,Powers Hollow,WV,WV,Central Appalachian Mountains,37.281763,-81.33027,WV
E01_SC-05,Saint Clairesville,PA,PA,Central Appalachian Mountains,40.155985,-78.510515,PA
E02_SC-13,Saint Clairesville,PA,PA,Central Appalachian Mountains,40.155985,-78.510515,PA
E02_SELU-06,SELU,VA,VA,Central Appalachian Mountains,37.050129,-80.333659,VA
E03_KM-4,Knobbs Mountain,VA,VA,Central Appalachian Mountains,38.47285,-78.174912,VA
E03_SP-06,Shawnee State Park,PA,PA,Central Appalachian Mountains,40.0341,-78.6343,PA
E04_KM-12,Knobbs Mountain,VA,VA,Central Appalachian Mountains,38.47285,-78.174912,VA
E04_SP-14,Shawnee State Park,PA,PA,Central Appalachian Mountains,40.0341,-78.6343,PA
E05_BR-05,Blue Rock,WV,WV,Central Appalachian Mountains,38.555584,-79.131435,WV
E05_TC-AC-7,Town Creek,MD,MD,Central Appalachian Mountains,39.58903,-78.56191,MD
E06_BF-P1-01,Brush Creek Falls 1,WV,WV,Central Appalachian Mountains,37.281763,-81.33027,WV
E06_BR-13,Blue Rock,WV,WV,Central Appalachian Mountains,38.555584,-79.131435,WV
E07_SH-05,Smoke Hole,WV,WV,Central Appalachian Mountains,38.545451,-79.141416,WV
E08_SH-12-B,Smoke Hole,WV,WV,Central Appalachian Mountains,38.545451,-79.141416,WV
