INDIVIDUALS,NAME_OF_POPULATION,lat',lon'
F06_BF-P1-02,Brush Creek Falls 1,37.281763,-81.33027
F06_BR-14,Blue Rock,38.555584,-79.131435
F07_SH-06,Smoke Hole,38.545451,-79.141416
F08_SH-13,Smoke Hole,38.545451,-79.141416
F09_CC-1-C,Carter Caves,38.22027,-83.07409
F09_PIN-06,The Pinnacle,36.575016,-82.3547
F10_FCR-4,False Castle Rock,38.553138,-79.14252
F10_LE-03,Lutzville,40.00842745,-78.43550965
F11_FCR-12,False Castle Rock,38.553138,-79.14252
F11_LE-12,Lutzville,40.00842745,-78.43550965
F12_PH-5,Powers Hollow,37.281763,-81.33027
G01_PH-14,Powers Hollow,37.281763,-81.33027
G01_SC-07,Saint Clairesville,40.155985,-78.510515
G02_SC-15,Saint Clairesville,40.155985,-78.510515
G02_SELU-08,SELU,37.050129,-80.333659
G03_KM-6,Knobbs Mountain,38.47285,-78.174912
G03_SP-08,Shawnee State Park,40.0341,-78.6343
G04_KM-14,Knobbs Mountain,38.47285,-78.174912
G04_TC-AC-1,Town Creek,39.58903,-78.56191
G05_BR-07,Blue Rock,38.555584,-79.131435
G06_BF-P1-03,Brush Creek Falls 1,37.281763,-81.33027
G06_BR-15,Blue Rock,38.555584,-79.131435
G07_SH-07,Smoke Hole,38.545451,-79.141416
G08_SH-14,Smoke Hole,38.545451,-79.141416
G08_SLR-1-A,Sweet Lilly Ridge,36.93829774,-84.56717353
G09_CC-1-D,Carter Caves,38.22027,-83.07409
G09_PIN-07,The Pinnacle,36.575016,-82.3547
G10_FCR-5,False Castle Rock,38.553138,-79.14252
G10_LE-04,Lutzville,40.00842745,-78.43550965
G11_FCR-13,False Castle Rock,38.553138,-79.14252
G11_LE-13,Lutzville,40.00842745,-78.43550965
G12_PH-6,Powers Hollow,37.281763,-81.33027
H01_SC-08,Saint Clairesville,40.155985,-78.510515
H01_SELU-01,SELU,37.050129,-80.333659
H02_SELU-09,SELU,37.050129,-80.333659
H02_SP-01,Shawnee State Park,40.0341,-78.6343
H03_KM-7,Knobbs Mountain,38.47285,-78.174912
H03_SP-09,Shawnee State Park,40.0341,-78.6343
H04_KM-15,Knobbs Mountain,38.47285,-78.174912
H04_TC-AC-2,Town Creek,39.58903,-78.56191
H05_BR-08,Blue Rock,38.555584,-79.131435
H06_BF-P1-04,Brush Creek Falls 1,37.281763,-81.33027
H06_BR-16,Blue Rock,38.555584,-79.131435
H07_SH-08,Smoke Hole,38.545451,-79.141416
H08_SH-15,Smoke Hole,38.545451,-79.141416
H08_SLR-1-B,Sweet Lilly Ridge,36.93829774,-84.56717353
H09_CC-1-E,Carter Caves,38.22027,-83.07409
H09_PIN-08,The Pinnacle,36.575016,-82.3547
H10_FCR-6,False Castle Rock,38.553138,-79.14252
H10_LE-05,Lutzville,40.00842745,-78.43550965
H11_FCR-14,False Castle Rock,38.553138,-79.14252
H12_PH-7,Powers Hollow,37.281763,-81.33027
